Feature,RF_Importance,F_Score
"('mfcc', 'mean.17')",0.002022520121332494,2479.7214415511135
"('mfcc', 'kurtosis.2')",0.0020192754422563254,787.3065482360041
"('mfcc', 'median.15')",0.002017737514198652,2729.1790934314135
"('mfcc', 'max.13')",0.0019853971373741956,2666.2680294811416
"('chroma_stft', 'max.6')",0.0019846331842567726,5182.752278863159
"('mfcc', 'median.17')",0.001984149359314951,2589.1807472606642
"('rmse', 'min')",0.001979858105799827,36.1675382579315
"('mfcc', 'max.8')",0.001976467924863694,3898.9324074735405
"('chroma_stft', 'median')",0.0019722330220237724,4366.213799166339
"('rmse', 'kurtosis')",0.0019648201633115712,335.88114146904593
"('mfcc', 'max.17')",0.0019503892966520869,2453.078080561865
"('mfcc', 'std.11')",0.0019418621192494807,1909.9944406939303
"('zcr', 'min')",0.0019315952930620312,1751.8338910081618
"('mfcc', 'mean.11')",0.0019310475645992206,5044.53976174935
"('mfcc', 'min.10')",0.0019248081215241966,2164.926158728707
"('chroma_stft', 'median.11')",0.00191140513172427,4149.83200878088
"('spectral_bandwidth', 'kurtosis')",0.001910644544030319,1587.371407690119
"('mfcc', 'skew.9')",0.0019024921514720172,2291.7529173246853
"('chroma_stft', 'kurtosis.1')",0.001882188245241578,25.432843603271287
"('spectral_bandwidth', 'min')",0.0018813825369468301,544.7719241265789
"('chroma_stft', 'median.1')",0.0018566377228654565,4547.830961089375
"('mfcc', 'mean.15')",0.0018509201168948203,2589.117065836412
"('mfcc', 'median.10')",0.001839317325636501,4348.070619199626
"('spectral_contrast', 'std.1')",0.0018385618617349476,1994.7921431512018
"('chroma_cqt', 'max.11')",0.0018340694351580708,4837.053517781992
"('mfcc', 'min.8')",0.0018268240304288386,2699.1787515861133
"('chroma_cqt', 'std.8')",0.0018246305415198056,1264.513162699752
"('chroma_cqt', 'std.5')",0.0018218853106769183,1986.7284219339738
"('chroma_stft', 'median.6')",0.0018091814846889042,4919.223532825997
"('tonnetz', 'mean.1')",0.0018028523713132126,1158.0163152004484
"('spectral_contrast', 'kurtosis.6')",0.0017978575350447211,2321.265412993728
"('mfcc', 'max.16')",0.001787070829133355,2231.5048289775946
"('chroma_stft', 'max')",0.00178256587227514,4739.234303339225
"('chroma_stft', 'max.2')",0.001780313814291276,5178.908508311148
"('chroma_stft', 'std.5')",0.0017674361232966492,1845.329782018076
"('mfcc', 'kurtosis.16')",0.00176592010089023,825.8122142027698
"('chroma_stft', 'kurtosis')",0.0017516440485016082,12.471499081556463
"('mfcc', 'max.15')",0.0017509274406112291,2350.343119530199
"('chroma_stft', 'median.2')",0.0017412707473527522,3945.7737833752913
"('mfcc', 'kurtosis.19')",0.0017393510713284257,1018.2400868529661
"('mfcc', 'mean.12')",0.001721242146478132,2981.526447067915
"('spectral_contrast', 'min.4')",0.001716586618719454,1795.1740534469886
"('spectral_contrast', 'max.2')",0.0017122624391365554,2221.8824785667216
"('spectral_contrast', 'min.6')",0.001707271633431285,259.8511595427364
"('chroma_stft', 'min.2')",0.0017065601126044416,568.884218658573
"('chroma_stft', 'median.10')",0.0017049299340354074,4172.394237503284
"('chroma_cens', 'std.2')",0.0016967790895203163,2087.754733044153
"('mfcc', 'std.2')",0.0016910477604253952,1603.5494925417654
"('mfcc', 'min.19')",0.001686418845794786,1771.8507334162773
"('chroma_cens', 'max.4')",0.001682506903333634,1259.3425641452286
"('mfcc', 'kurtosis.4')",0.0016663704071946046,517.9360813978884
"('mfcc', 'kurtosis.17')",0.0016650683438102457,1021.0177348922733
"('chroma_stft', 'min.9')",0.0016578413419730505,420.28537843682636
"('chroma_stft', 'kurtosis.5')",0.0016303461056236723,68.4665958191427
"('chroma_stft', 'median.7')",0.001630067631279345,4156.880640477648
"('chroma_cens', 'mean.6')",0.001619261352741677,2428.243471830728
"('chroma_cens', 'max.2')",0.001617757368380147,1505.739381985188
"('mfcc', 'max.10')",0.0016173981143285767,3156.291945257004
"('tonnetz', 'max.5')",0.0016114872671818342,1545.0207457130732
"('chroma_stft', 'skew.8')",0.001605270920530486,3146.0505379713386
"('spectral_contrast', 'min.3')",0.0016005884222041564,2028.3341652038212
"('spectral_contrast', 'skew')",0.001593044413949788,1849.962990712517
"('chroma_stft', 'std.10')",0.0015929485609163605,3372.9522245551047
"('mfcc', 'skew.7')",0.0015848844232614612,1722.7154044996237
"('spectral_contrast', 'min.1')",0.0015846872422605033,2893.0061522472374
"('chroma_cqt', 'std.11')",0.0015790506014548198,817.5647387199094
"('spectral_rolloff', 'min')",0.001578664411865975,808.9539043549971
"('mfcc', 'skew.11')",0.0015777561028793602,1430.8621638103075
"('chroma_stft', 'skew.11')",0.0015746970942302294,2864.8158605934673
"('mfcc', 'max.12')",0.0015746724285952652,2296.4294485405894
"('mfcc', 'kurtosis.5')",0.0015730679430441886,724.0947107107515
"('mfcc', 'median.12')",0.0015726772759937092,3090.284686771066
"('chroma_cens', 'max.5')",0.0015656219558566721,2202.6479112402258
"('chroma_cens', 'std.9')",0.0015584281729817734,2456.2904728194644
"('tonnetz', 'skew.1')",0.0015547113816556696,986.5872224812684
"('chroma_stft', 'kurtosis.10')",0.001553238069496268,9.640885912477172
"('chroma_stft', 'min')",0.001537595390436451,471.58642505029826
"('mfcc', 'max.11')",0.0015362447849235172,3011.2694323664923
"('chroma_cqt', 'std.3')",0.001532367802497726,1665.997707250239
"('chroma_cqt', 'mean.2')",0.001531173725134391,1403.5917309739182
"('tonnetz', 'min.3')",0.0015278916990164194,2658.608220920291
"('mfcc', 'min.5')",0.0015232031379598242,2275.8777343338365
"('chroma_stft', 'median.4')",0.0015226153245405194,4361.5058965066855
"('chroma_cens', 'max.3')",0.0015208794799080963,1941.78421471182
"('chroma_cqt', 'std.2')",0.0015183112223440618,1856.6352865584267
"('tonnetz', 'min.1')",0.0015176811107740099,1414.3109612333833
